"value","cluster"
"procurement","Economy & Financial Services"
"economic crime corporate","Crime & Justice"
"misuse drugs act","Crime & Justice"
"northern ireland troubles","European Union & Foreign Affairs"
"opposition day","Education & Learning"
"energy","Environment & Energy"
"illegal migration","Immigration & Borders"
"strikes minimum service","Miscellaneous"
"adjournment summer conference","Miscellaneous"
"economic activity public","Economy & Financial Services"
"holocaust memorial","Miscellaneous"
"schools gender parental","Education & Learning"
"financial services markets","Economy & Financial Services"
"national security","Defence & Armed Forces"
"retained european union","European Union & Foreign Affairs"
"finance","Economy & Financial Services"
"privilege","Parliamentary Procedures"
"standards","Standards & Technology"
"non domestic rating","Welfare & Social Housing"
"lifelong learning higher","Education & Learning"
"public order","Crime & Justice"
"finance whole house","Economy & Financial Services"
"social security additional","Welfare & Social Housing"
"social housing regulation","Welfare & Social Housing"
"scottish affairs membership","Miscellaneous"
"higher education freedom","Education & Learning"
"uk infrastructure bank","Economy & Financial Services"
"online safety","Crime & Justice"
"stamp duty land","Welfare & Social Housing"
"asylum seekers removal","Immigration & Borders"
"levelling regeneration","Miscellaneous"
"trade australia zealand","European Union & Foreign Affairs"
"standards code","Standards & Technology"
"standards code conduct","Standards & Technology"
"financial markets services","Economy & Financial Services"
"genetic technology precision","Standards & Technology"
"product security telecommunications","Standards & Technology"
"identity language northern","Miscellaneous"
"ban fracking shale","Environment & Energy"
"energy prices","Environment & Energy"
"health social care","Health & Healthcare"
"northern ireland protocol","European Union & Foreign Affairs"
"confidence majesty government","Miscellaneous"
"energy oil gas","Environment & Energy"
"high speed rail","Standards & Technology"
"rail strikes","Miscellaneous"
"elections","Parliamentary Procedures"
"judicial review courts","Crime & Justice"
"nationality borders","Immigration & Borders"
"police crime sentencing","Crime & Justice"
"health care","Health & Healthcare"
"building safety","Standards & Technology"
"skills post education","Education & Learning"
"dissolution calling parliament","Miscellaneous"
"professional qualifications","Education & Learning"
"animal welfare sentience","Miscellaneous"
"economic crime transparency","Crime & Justice"
"national insurance contributions","Welfare & Social Housing"
"public service pensions","Welfare & Social Housing"
"leasehold reform ground","Welfare & Social Housing"
"nuclear energy financing","Environment & Energy"
"nuclear energy finance","Environment & Energy"
"charter budget responsibility","Miscellaneous"
"welfare cap","Welfare & Social Housing"
"subsidy control","Economy & Financial Services"
"armed forces","Defence & Armed Forces"
"copyright rights remuneration","Miscellaneous"
"finance cwh","Economy & Financial Services"
"conduct rt hon","Miscellaneous"
"social security rating","Welfare & Social Housing"
"environment","Environment & Energy"
"telecommunications security","Standards & Technology"
"standards amended","Standards & Technology"
"budget resolutions","Miscellaneous"
"employment trade union","Economy & Financial Services"
"compensation london capital","Miscellaneous"
"social security uprating","Welfare & Social Housing"
"treasury update international","Miscellaneous"
"adjournment conference november","Miscellaneous"
"information commissioner remuneration","Miscellaneous"
"advanced research invention","Standards & Technology"
"fire safety","Welfare & Social Housing"
"national security investment","Defence & Armed Forces"
"overseas operations service","Defence & Armed Forces"
"financial services","Economy & Financial Services"
"domestic abuse","Crime & Justice"
"coronavirus act","Miscellaneous"
"trade","Economy & Financial Services"
"contingencies fund","Miscellaneous"
"telecommunications infrastructure leasehold","Standards & Technology"
"exiting european union","European Union & Foreign Affairs"
"covert human intelligence","Defence & Armed Forces"
"public health","Health & Healthcare"
"european union future","European Union & Foreign Affairs"
"sittings house","Miscellaneous"
"taxation post transition","Welfare & Social Housing"
"united kingdom internal","Miscellaneous"
"pension schemes","Welfare & Social Housing"
"parliamentary constituencies","Parliamentary Procedures"
"agriculture","Environment & Energy"
"immigration social security","Immigration & Borders"
"business house october","Miscellaneous"
"fisheries","Environment & Energy"
"private international law","Crime & Justice"
"coronavirus act review","Miscellaneous"
"town country planning","Miscellaneous"
"extradition provisional arrest","Crime & Justice"
"counter terrorism sentencing","Defence & Armed Forces"
"children young persons","Education & Learning"
"divorce dissolution separation","Miscellaneous"
"proceedings pandemic","Miscellaneous"
"NationalHealthService funding","Health & Healthcare"
"european union withdrawal","European Union & Foreign Affairs"
"early parliamentary general","Parliamentary Procedures"
"business house saturday","Miscellaneous"
"northern ireland executive","Miscellaneous"
"adjournment summer","Miscellaneous"
"parliamentary buildings restoration","Parliamentary Procedures"
"business house","Miscellaneous"
"second european union","European Union & Foreign Affairs"
"united kingdom withdrawal","European Union & Foreign Affairs"
"offensive weapons","Defence & Armed Forces"
"section european communities","European Union & Foreign Affairs"
"foreign affairs","European Union & Foreign Affairs"
"human medicines regulations","Health & Healthcare"
"securitisation regulations revoke","Economy & Financial Services"
"mental capacity amdt","Health & Healthcare"
"mental capacity","Health & Healthcare"
"financial services implementation","Economy & Financial Services"
"police grant england","Crime & Justice"
"local government finance","Economy & Financial Services"
"crime overseas production","Crime & Justice"
"healthcare international arrangements","Health & Healthcare"
"uk participation european","European Union & Foreign Affairs"
"international trade development","Economy & Financial Services"
"courts tribunals judiciary","Crime & Justice"
"cannabis legalisation regulation","Miscellaneous"
"privilege withdrawal agreement","Parliamentary Procedures"
"business house european","European Union & Foreign Affairs"
"offensive weapons govt","Defence & Armed Forces"
"offensive weapons nc","Defence & Armed Forces"
"budget resolution","Miscellaneous"
"civil liability","Crime & Justice"
"overseas electors","Parliamentary Procedures"
"counter terrorism border","Defence & Armed Forces"
"tenant fees","Welfare & Social Housing"
"taxation cross border","Welfare & Social Housing"
"european statutory instruments","European Union & Foreign Affairs"
"ivory","Miscellaneous"
"eu japan economic","Economy & Financial Services"
"automated electric vehicles","Standards & Technology"
"mental health units","Health & Healthcare"
"data protection","Standards & Technology"
"education student support","Education & Learning"
"secure tenancies victims","Welfare & Social Housing"
"nuclear safeguards","Defence & Armed Forces"
"criminal legal aid","Crime & Justice"
"sanctions anti money","Crime & Justice"
"domestic gas electricity","Environment & Energy"
"financial guidance claims","Economy & Financial Services"
"higher education research","Education & Learning"
"refugees family reunion","Immigration & Borders"
