about,title,date_value,search_url,
1660325,Procurement Bill [Lords]: Motion to disagree with Lords Amendment 102B,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-09-13.txt
1660363,Economic Crime and Corporate Transparency Bill: Motion to disagree with 151B and 151C and to insist on 151A,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-13.txt
1660364,Draft Windsor Framework (Enforcement etc.) Regulations 2023,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Draft Wind&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1659952,Representation of the People (Postal and Proxy Voting etc.) (Amendment) Regulations 2023,12/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-12&endDate=2023-09-12&searchTerm=Representa&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1659953,Misuse of Drugs Act 1971 (Amendment) Order 2023,12/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-12&endDate=2023-09-12&searchTerm=Misuse of &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Dangerous Drugs 2023-09-12.txt
1658500,Northern Ireland Troubles (legacy and Reconciliation) Bill: Motion to disagree,06/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-06&endDate=2023-09-06&searchTerm=Northern I&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Northern Ireland Troubles  (Legacy and Reconciliation) Bill 2023-09-06.txt
1658539,Opposition day: Safety of School Buildings,06/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-06&endDate=2023-09-06&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Safety of School Buildings 2023-09-06.txt
1658092,Energy Bill [Lords] Report Stage: New Clause 12,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658093,Energy Bill [Lords] Report Stage: New Clause 39,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658094,Energy Bill [Lords] Report Stage: New Clause 57,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
