cluster,plus,minus
Immigration & Borders,Associated with tighter immigration & borders,Associated softer immigration & borders
Economy & Financial Services,Associated with stimulus & the free market,Associated with austerity & regulation 
Education & Learning,Associated with increased Education & Learning,Associated with limiting Education & Learning
Defence & Armed Forces,"Associated with softer regulations, & growing powers of Defence & Armed Forces","Associated with increased accountabillity, & limiting powers of Defence & Armed Forces"
European Union & Foreign Affairs,Associated with globalisation & strengthening ties with the European Union & other Foreign Affairs,Associated with protectionism & independance from the European Union & other Foreign Affairs
Parliamentary Procedures,"Associated with accountabillity, & decentralisation in the context of Parliamentary Procedures","Associated with reduced bureaucracy, & centralisation in the context of Parliamentary Procedures"
Standards & Technology,"Associated with innovation, progressivism, flexibility, in the context of Standards & Technology","Associated with ethical considerations, regulation, & tradition, in the context of Standards & Technology"
Welfare & Social Housing,"Associated with greater spending on, & provision of, Welfare & Social Housing","Associated with cutting spending on, & provision of Welfare & Social Housing"
Crime & Justice,"Associated with greater police powers, harsher punishments, strengthening Crime & Justice","Associated with freedom & autonomy, limiting police powers & softer punishments, limiting Crime & Justice"
Environment & Energy,Associated with prioritising environmental sustainability in the context of Environment & Energy,Associated with prioritising economic growth & development in the context of Environment & Energy
Health & Healthcare,"Associated with investment in public health & improving standards of care, in the context of Health & Healthcare",Associated with fiscal responsibility in the context of Health & Healthcare
