"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Fay Jones",0.403041825095057,0.460122699386503,0.288659793814433,0.380281690140845,0.384615384615385,0.307692307692308,0.697247706422018,0.610169491525424,0.341269841269841,0.826923076923077,0.849315068493151
"Julian Smith",0.262357414448669,0.0306748466257669,0.0824742268041237,0.0845070422535211,0.0591715976331361,0.153846153846154,0.706422018348624,0.864406779661017,0.785714285714286,0.951923076923077,0.904109589041096
"William Wragg",0.125475285171103,0.466257668711656,0.309278350515464,0.366197183098592,0.29585798816568,0.307692307692308,0.972477064220184,0.677966101694915,0.515873015873016,0.875,0.538812785388128
"Nicola Richards",0.422053231939163,0.460122699386503,0.206185567010309,0.338028169014085,0.372781065088757,0.435897435897436,0.651376146788991,0.661016949152542,0.396825396825397,0.836538461538462,0.881278538812785
"Penny Mordaunt",0.212927756653992,0.0552147239263804,0.134020618556701,0.0985915492957746,0.0650887573964497,0.153846153846154,0.798165137614679,0.932203389830508,0.76984126984127,0.932692307692308,0.904109589041096
"Gregory Campbell",0.133079847908745,0.595092024539877,0.484536082474227,0.507042253521127,0.550295857988166,0.846153846153846,0.688073394495413,0.610169491525424,0.587301587301587,0.490384615384615,0.452054794520548
"Andrew Percy",0.129277566539924,0.147239263803681,0.144329896907216,0.183098591549296,0.177514792899408,0.230769230769231,0.660550458715596,0.728813559322034,0.722222222222222,0.884615384615385,0.785388127853881
"Paul Howell",0.422053231939163,0.47239263803681,0.206185567010309,0.338028169014085,0.378698224852071,0.333333333333333,0.614678899082569,0.576271186440678,0.404761904761905,0.846153846153846,0.931506849315068
"Justin Tomlinson",0.197718631178707,0,0.0515463917525773,0.0422535211267606,0.029585798816568,0.102564102564103,0.807339449541284,0.898305084745763,0.888888888888889,0.961538461538462,0.936073059360731
"Priti Patel",0.243346007604563,0.0858895705521472,0.237113402061856,0.253521126760563,0.142011834319527,0.307692307692308,0.724770642201835,0.830508474576271,0.650793650793651,0.836538461538462,0.767123287671233
"Caroline Ansell",0.346007604562738,0.45398773006135,0.298969072164948,0.338028169014085,0.331360946745562,0.128205128205128,0.761467889908257,0.627118644067797,0.468253968253968,0.855769230769231,0.863013698630137
"Stephen McPartland",0.20532319391635,0.128834355828221,0.103092783505155,0.0985915492957746,0.195266272189349,0.307692307692308,0.63302752293578,0.593220338983051,0.825396825396825,0.769230769230769,0.744292237442922
"Edward Leigh",0.0836501901140684,0.319018404907975,0.237113402061856,0.436619718309859,0.130177514792899,0.179487179487179,0.63302752293578,0.728813559322034,0.666666666666667,0.836538461538462,0.931506849315068
"Rehman Chishti",0.182509505703422,0.0858895705521472,0.195876288659794,0.140845070422535,0.0887573964497041,0.153846153846154,0.779816513761468,0.813559322033898,0.849206349206349,0.971153846153846,0.821917808219178
"Bob Stewart",0.20532319391635,0.104294478527607,0.0927835051546392,0.140845070422535,0.130177514792899,0.153846153846154,0.779816513761468,0.813559322033898,0.777777777777778,0.971153846153846,0.958904109589041
"Fiona Bruce",0.174904942965779,0.0920245398773006,0.0309278350515464,0.112676056338028,0.0532544378698225,0.0512820512820513,0.715596330275229,0.745762711864407,0.73015873015873,0.951923076923077,0.968036529680365
"Dan Poulter",0.269961977186312,0.417177914110429,0.278350515463918,0.380281690140845,0.325443786982249,0.205128205128205,0.862385321100917,0.627118644067797,0.293650793650794,0.875,0.82648401826484
"Caroline Nokes",0.281368821292776,0.0184049079754601,0.123711340206186,0.0704225352112676,0.106508875739645,0.128205128205128,0.752293577981651,0.915254237288136,0.873015873015873,0.913461538461538,0.584474885844749
"Mark Pawsey",0.239543726235741,0.0674846625766871,0.103092783505155,0.126760563380282,0.0591715976331361,0.102564102564103,0.761467889908257,0.830508474576271,0.896825396825397,0.932692307692308,0.881278538812785
"Luke Evans",0.403041825095057,0.47239263803681,0.206185567010309,0.338028169014085,0.366863905325444,0.358974358974359,0.697247706422018,0.576271186440678,0.357142857142857,0.846153846153846,0.936073059360731
"Kit Malthouse",0.171102661596958,0.404907975460123,0.154639175257732,0.323943661971831,0.224852071005917,0.153846153846154,0.935779816513762,0.847457627118644,0.484126984126984,0.913461538461538,0.958904109589041
"Mark Garnier",0.20532319391635,0.0797546012269939,0.0927835051546392,0.0845070422535211,0.0710059171597633,0,0.807339449541284,0.847457627118644,0.746031746031746,0.903846153846154,0.945205479452055
"Stephen Hammond",0.212927756653992,0.153374233128834,0.185567010309278,0.338028169014085,0.136094674556213,0.358974358974359,0.63302752293578,0.813559322033898,0.682539682539683,0.932692307692308,0.849315068493151
"Alex Burghart",0.212927756653992,0.417177914110429,0.237113402061856,0.267605633802817,0.337278106508876,0.307692307692308,0.899082568807339,0.779661016949153,0.444444444444444,0.913461538461538,0.940639269406393
"Andy Carter",0.403041825095057,0.45398773006135,0.206185567010309,0.394366197183099,0.355029585798817,0.307692307692308,0.697247706422018,0.576271186440678,0.412698412698413,0.855769230769231,0.940639269406393
"Simon Fell",0.418250950570342,0.460122699386503,0.206185567010309,0.422535211267606,0.366863905325444,0.41025641025641,0.669724770642202,0.610169491525424,0.428571428571429,0.798076923076923,0.821917808219178
"Iain Stewart",0.216730038022814,0.0736196319018405,0.0824742268041237,0.0845070422535211,0.0177514792899408,0.0769230769230769,0.688073394495413,0.966101694915254,0.857142857142857,0.961538461538462,0.958904109589041
"Matt Warman",0.167300380228137,0.398773006134969,0.154639175257732,0.295774647887324,0.224852071005917,0.153846153846154,0.926605504587156,0.864406779661017,0.492063492063492,0.923076923076923,0.936073059360731
"Darren Henry",0.414448669201521,0.447852760736196,0.206185567010309,0.422535211267606,0.366863905325444,0.307692307692308,0.678899082568807,0.593220338983051,0.396825396825397,0.855769230769231,0.940639269406393
"Peter Aldous",0.20532319391635,0.0552147239263804,0.123711340206186,0.154929577464789,0.0355029585798817,0.0769230769230769,0.779816513761468,0.915254237288136,0.880952380952381,0.951923076923077,0.981735159817352
"Cherilyn Mackrory",0.422053231939163,0.47239263803681,0.216494845360825,0.338028169014085,0.396449704142012,0.41025641025641,0.669724770642202,0.576271186440678,0.428571428571429,0.798076923076923,0.876712328767123
"Harriett Baldwin",0.20532319391635,0.0552147239263804,0.0721649484536082,0.154929577464789,0.0414201183431953,0.230769230769231,0.807339449541284,0.847457627118644,0.777777777777778,0.903846153846154,0.917808219178082
"Ian Liddell-Grainger",0.133079847908745,0.0797546012269939,0.247422680412371,0.338028169014085,0.21301775147929,0.461538461538462,0.623853211009174,0.745762711864407,0.698412698412698,0.903846153846154,0.73972602739726
"John Baron",0.0874524714828897,0.300613496932515,0.288659793814433,0.338028169014085,0.248520710059172,0.333333333333333,0.55045871559633,0.677966101694915,0.785714285714286,0.942307692307692,0.863013698630137
"Tom Randall",0.422053231939163,0.45398773006135,0.206185567010309,0.309859154929577,0.372781065088757,0.333333333333333,0.697247706422018,0.610169491525424,0.428571428571429,0.836538461538462,0.940639269406393
"Robin Walker",0.193916349809886,0.0797546012269939,0.0824742268041237,0.28169014084507,0.0236686390532544,0.153846153846154,0.834862385321101,0.88135593220339,0.817460317460317,0.894230769230769,0.844748858447489
